ID,Corporation,Text,Datetime,Hashtags,Racial Justice,BLM,Juneteenth,Money,pred_label_id,pred_label_name,p_Normal,p_Harassment,p_Defamation,p_Misleading,pred_confidence,risk_flag
1285964058731184129,Wells Fargo,"The pandemic has resulted in 41 million unemployed and hunger on the rise. This year, several of our locations are becoming mobile food distribution centers as we team up with @FeedingAmerica  to help those in need. Learn more. #WellsFargoFoodBank",2020-07-22 15:44:58,WellsFargoFoodBank,False,,,,3,Misleading,0.047145363,0.038725223,0.0071706935,0.9069587,0.9069587,True
1284134905081888770,Wells Fargo,"Tribal communities have been severely impacted by COVID-19, and we want to do our part to support them through the Open for Business Fund – a long-term recovery effort to help small businesses keep their doors open, retain employees and rebuild.",2020-07-17 14:36:34,,False,,,,3,Misleading,0.32141805,0.06615903,0.020702079,0.5917208,0.5917208,True
1278033424683589632,Wells Fargo,"Just because there isn’t a Pride parade this year doesn’t mean you can’t have your own! We got creative with virtual shoebox float parade. No matter how you celebrate this year, we’re all celebrating the same thing. Love is love is love, always. Happy #PrideMonth!",2020-06-30 18:31:27,PrideMonth,False,,,,3,Misleading,0.16564035,0.046087854,0.008777116,0.77949464,0.77949464,True
1275813404817723393,Wells Fargo,"In the face of challenges, it is vital for each of us to depend on our strength and resilience, individually and together. This weekend @NoBarriersUSA invites you to explore your possibilities #NoBarriersSummit Learn more:",2020-06-24 15:29:53,NoBarriersSummit,False,,,,3,Misleading,0.4559237,0.028651852,0.009441343,0.5059831,0.5059831,True
1266048606231986181,Wells Fargo,Thank you to our employees who put in long hours away from work to make protective face coverings to support health care workers and others in their local communities. Together your efforts make a mighty difference!,2020-05-28 16:48:04,,False,,,,3,Misleading,0.14779651,0.04627371,0.010102192,0.79582757,0.79582757,True
1283793062464897024,Chevron,RT @APIenergy: JUST RELEASED: The Environmental Partnership’s 2020 annual report highlights the industry’s ongoing commitment to environmen…,2020-07-16 15:58:12,,False,,,,3,Misleading,0.1502103,0.042093936,0.012562815,0.79513294,0.79513294,True
1283116554348048385,Lockheed Martin,"Every day, we're doing our part to help American workers develop in-demand skills for the future of work.  

Alongside @AdCouncil, @Apple, @IBM &amp; @WhiteHouse we’re excited to help launch the #FindSomethingNew campaign to promote American workforce readiness.",2020-07-14 19:10:00,FindSomethingNew,False,,,,3,Misleading,0.12607983,0.04396292,0.008687487,0.8212697,0.8212697,True
1284124576126062593,CVS Health,Checking your oxygen and pulse levels has never been easier with the CVS® Pulse Oximeter. Now back in stock. Look for it in the home health aisle or online.,2020-07-17 13:55:31,,False,,,,3,Misleading,0.01590652,0.06487961,0.0069353525,0.91227853,0.91227853,True
1282689668312698892,CVS Health,"Dreaming of the perfect gallery wall? Sketch it out, then shop the CVS Summer Photo Sale for up to 70% off canvases and 50% off panels — including our premade designs.",2020-07-13 14:53:42,,False,,,,3,Misleading,0.009642302,0.036075514,0.005803518,0.94847864,0.94847864,True
1280215941255778304,CVS Health,"We’ve joined forces with the @LungAssociation to combat #COVID19. You can help expand  research that will improve the development of new vaccines, detection tests and treatments to defend against future respiratory viruses by donating at your local CVS Pharmacy or online.",2020-07-06 19:04:00,COVID19,False,,,,3,Misleading,0.027245602,0.038223602,0.0065895086,0.9279413,0.9279413,True
1278434495667068929,CVS Health,"RT @TerraCycle: .@cvspharmacy, @Gillette, and @FisherHouseFdtn are working with us to offer FREE razor recycling and the chance to bring a…",2020-07-01 21:05:10,,False,,,,3,Misleading,0.118950985,0.03620765,0.007000241,0.83784115,0.83784115,True
1278430672781180929,CVS Health,CVS is proud to be the Official Health and Wellness Sponsor of the @WashSpirit on their journey to the 2020 #NWSLChallengeCup. @CVSHealth is dedicated to helping young women on their path to health and wellness. #CatchTheSpirit #SpiritNation,2020-07-01 20:49:59,NWSLChallengeCup;CatchTheSpirit;SpiritNation,False,,,,3,Misleading,0.15160666,0.039134957,0.008631838,0.8006266,0.8006266,True
1278388630235512832,CVS Health,RT @CVSHealth: We joined forces with @LungAssociation to combat #COVID19 and protect against future respiratory viruses. Learn more on how…,2020-07-01 18:02:55,COVID19,False,,,,3,Misleading,0.10861733,0.03709548,0.0067292466,0.8475579,0.8475579,True
1277247885919346691,CVS Health,🔥 Add S’more color into your favorite fireside treat! 🍓 Fresh fruit elevates this camping classic.,2020-06-28 14:30:00,,False,,,,3,Misleading,0.18833968,0.052594405,0.00817031,0.75089556,0.75089556,True
1276561645301567491,CVS Health,"CVS Health is now offering no-cost drive-thru COVID-19 testing at select CVS Pharmacy locations. Tests are available by appointment only at the drive-thru window. Results will be available in 2-4 days. Find testing locations, eligibility &amp; schedule an appointment on our website.",2020-06-26 17:03:08,,False,,,,3,Misleading,0.007292558,0.040782817,0.00613054,0.94579405,0.94579405,True
1276486764283248641,CVS Health,"🌅 Rise and shine! Summer self-care starts with @Get_Friska Energy Boost with enzymes, probiotics and botanicals to for immune system support. #FridayMorning",2020-06-26 12:05:35,FridayMorning,False,,,,3,Misleading,0.018060787,0.036797553,0.0042898473,0.94085175,0.94085175,True
1275413308514975745,CVS Health,"Going, going, still on. It’s the last week to grab great deals on beauty and wellness products.",2020-06-23 13:00:03,,False,,,,3,Misleading,0.05047545,0.05073895,0.006063519,0.892722,0.892722,True
1275067678026170369,CVS Health,A little self-care goes a long way. ✨ Shine bright this summer with small steps toward a healthier you.,2020-06-22 14:06:38,,False,,,,3,Misleading,0.37829804,0.09516428,0.00860456,0.5179331,0.5179331,True
1274323616059084802,CVS Health,Catch some rays and bounce ’em right back 🔙 with mineral sunscreen which reflects UV rays. #FirstDayOfSummer,2020-06-20 12:50:00,FirstDayOfSummer,False,,,,3,Misleading,0.03711599,0.058102243,0.0056388946,0.8991429,0.8991429,True
1273345731647156227,CVS Health,CVS Health® is now offering no-cost drive-thru COVID-19 testing at select CVS Pharmacy® locations. Tests are available by appointment only at the drive-thru window.,2020-06-17 20:04:14,,False,,,,3,Misleading,0.012415554,0.053489704,0.008658135,0.9254366,0.9254366,True
1286735839624560651,Sysco,"Real, meaningful change in an organization begins at the executive level. The @CEOAction for Diversity &amp; Inclusion is the largest CEO-driven business commitment to advance D&amp;I within the workplace...",2020-07-24 18:51:45,,True,False,False,False,3,Misleading,0.061014075,0.046723675,0.008400637,0.88386154,0.88386154,True
