id,created_at,text,pred_label_id,pred_label_name,p_Normal,p_Harassment,p_Defamation,p_Misleading,pred_confidence,risk_flag,char_len,word_len
845325721455149056,2017-03-24T17:25:32,b'@kryniog The shorter wheelbase only allows for a 75 kWh pack in Model 3 at current cell/module energy densities',3,Misleading,0.08371651,0.08755367,0.010268806,0.818461,0.818461,True,114,19
832986598627106818,2017-02-18T16:14:15,"b'@zperrin99 Uses high pressure bleed off the fuel side (RP-1 kerosene) turbopump, so no dedicated pump or fluid needed'",3,Misleading,0.30768007,0.110925645,0.010539426,0.5708549,0.5708549,True,120,19
829834118733062144,2017-02-09T23:27:26,b'RT @TeslaMotors: Supercharger availability is now displayed on your Tesla touchscreen so you can see how many stalls are open before you ar\xe2\x80\xa6',3,Misleading,0.14152513,0.039493274,0.0067866216,0.812195,0.812195,True,154,23
828300568062021632,2017-02-05T17:53:39,b'@B0Turner Gravimetric energy density of batteries and achieving a high cell mass fraction',3,Misleading,0.025764227,0.09151365,0.007418986,0.8753031,0.8753031,True,92,13
827692878986100736,2017-02-04T01:38:54,"b'@mcun1 Yes. Green cards &amp; dual citizens already ok. Work &amp; spousal visas not yet, but hopefully soon. This is separate from judicial action.'",3,Misleading,0.3232137,0.03866668,0.007635626,0.63048404,0.63048404,True,151,24
823214178458476545,2017-01-22T17:02:09,b'@dnansink40 Autonomy capability should improve via OTA every 2 to 6 weeks',3,Misleading,0.01752211,0.04115054,0.0057369955,0.9355904,0.9355904,True,76,12
822908233090072576,2017-01-21T20:46:26,b'Validating a GPU driver fix and camera pitch angle health check for HW2',3,Misleading,0.05254062,0.056582913,0.008817327,0.8820591,0.8820591,True,74,13
820932361915203585,2017-01-16T09:55:01,"b'HW2 Autopilot now downloading to all HW2 cars, but in non-actuating mode to assess reliability. If looks good, actuation by end of week.'",3,Misleading,0.13262607,0.038662046,0.0072765583,0.8214353,0.8214353,True,139,23
820346008068452352,2017-01-14T19:05:04,b'Mission looks good. Started deploying the 10 Iridium satellites. Rocket is stable on the droneship.',3,Misleading,0.31149206,0.06882618,0.010402501,0.6092793,0.6092793,True,102,15
818090689233711104,2017-01-08T13:43:14,"b'If all looks good, HW2 Autopilot functionality will switch from shadow to active mode by end of week for cars beyond initial 1000'",3,Misleading,0.34243417,0.045043234,0.009206217,0.6033164,0.6033164,True,132,23
818090148608868353,2017-01-08T13:41:05,b'New rev for Autopilot HW2 rolling out Mon to first 1000 &amp; to rest of fleet in shadow mode. Also improves HW1 and enables Ludicrous+.',3,Misleading,0.018370928,0.039325412,0.0053175,0.9369861,0.9369861,True,139,25
815309075445485568,2016-12-31T21:30:05,b'HW2 Autopilot software uploading to 1000 cars this eve. Will then hold to verify no field issues and upload to rest of fleet next week.',3,Misleading,0.06264524,0.045570876,0.0059000533,0.88588375,0.88588375,True,138,25
811738008969842689,2016-12-22T00:59:57,b'Tesla Autopilot vision neural net now working well. Just need to get a lot of road time to validate in a wide range of environments.',3,Misleading,0.16255255,0.046527013,0.0074148835,0.7835055,0.7835055,True,135,25
801115026409058304,2016-11-22T17:28:00,b'@CJDSB @TeslaMotors About 3 weeks',3,Misleading,0.24580051,0.047580127,0.0071659707,0.6994533,0.6994533,True,36,5
801086836764385280,2016-11-22T15:36:00,"b'RT @TeslaMotors: This island in American Samoa now runs on nearly 100% solar energy thanks to 5,300+ solar panels &amp; 60 Tesla Powerpacks htt\xe2\x80\xa6'",3,Misleading,0.17101057,0.05099801,0.007131105,0.7708604,0.7708604,True,158,24
799670715397980160,2016-11-18T17:48:50,b'@vicentes @TeslaMotors @FortuneMagazine big mobile app update coming with 8.1 next month',3,Misleading,0.07225895,0.037123915,0.0054836306,0.88513345,0.88513345,True,91,12
794573085445763072,2016-11-04T16:12:40,b'@BitterMercy Excellent safety in rollover (5 star+). That was what took so long to develop.',3,Misleading,0.14704867,0.05091182,0.0070239673,0.7950155,0.7950155,True,94,15
794219484621832192,2016-11-03T16:47:35,b'@brainwipe There would def be millions of agents simultaneously doing a Monte Carlo sim &amp; combining the results to build a map of weaknesses',3,Misleading,0.40385464,0.04753315,0.009303542,0.5393088,0.5393088,True,147,24
792218248917811204,2016-10-29T04:15:23,"b'Solar glass tiles can also incorporate heating elements, like rear defroster on a car, to clear roof of snow and keep generating energy'",3,Misleading,0.015112737,0.06378851,0.0072447914,0.91385394,0.91385394,True,138,23
791756469305679873,2016-10-27T21:40:27,"b'Solar roof unveil now at 5:30pm sharp (need daylight, for obvious reasons) California time tomorrow.'",3,Misleading,0.4261528,0.05202019,0.008008953,0.5138181,0.5138181,True,103,15
